x,y,z
93.43690676140324,67.88298787518681,a
92.01953413685136,119.76831949211856,a
63.60332630443257,119.22017231966356,a
91.56675262916124,148.5074297600687,a
116.5428823078456,153.7665465732357,a
144.0584586332578,138.94594171671406,a
90.41769962315745,236.86746109011347,a
167.15311572575973,187.42983341890795,a
132.4252974757378,169.84219195380388,a
160.56914328646468,174.77933200191785,a
106.6273772467012,164.53434899866022,a
141.7017157839408,201.09976881473534,a
125.21832288900892,215.28005045550827,a
136.8248781344281,219.9834286189731,a
103.3954773330644,238.248102317695,a
148.4734575313574,191.40987183377263,a
148.71315225817986,195.32151230412603,a
162.07679502133698,243.78362566078573,a
133.85617900970942,239.53820883893746,a
131.69499641331817,213.67593997388246,a
132.2419839739271,231.8815235581228,a
196.692265870387,248.26324806170263,a
132.55135705712817,240.14776069858857,a
175.19411968068752,278.749353698072,a
168.88028358947645,297.6917939105244,a
196.5607599174263,272.2182969961332,a
190.379645231896,345.0297228033145,a
218.17399020225227,317.78210603222624,a
229.94701265122433,287.2862656012921,a
236.83997554419105,328.9035248651561,a
165.3029491445424,310.2815721158331,a
242.67585080802107,314.85071071131586,a
250.04845465902403,315.4935735532623,a
276.99840825241745,319.64710141598323,a
252.8518220807682,325.639069191579,a
246.33146794243603,350.11975134127897,a
245.93379050052022,318.49375503728317,a
249.88234346860926,318.8709967216962,a
240.68636413822455,345.3600552805811,a
250.11773438047797,287.89368198131825,a
269.0178794560354,359.7420385953861,a
268.5289285274248,334.3709842707374,a
177.3626676484712,359.65228243416993,a
257.70151008429275,361.56518758183256,a
322.1529001881066,339.1098456323765,a
252.09975485877726,323.54871942836724,a
239.80262901567536,365.93994273827616,a
261.6908236109208,334.42900796474885,a
248.3481783514968,296.6228001756235,a
275.1358408976975,341.617127384901,a
297.6410180393499,302.95856905986466,a
246.01648560504518,314.8402845372601,a
324.090889562126,316.2317351385412,a
269.30874821177974,297.8875655006385,a
293.9353370697614,313.94781723635333,a
317.5166056188074,306.2991619732059,a
291.04774553437596,277.90381687670913,a
262.49984766476615,231.78661764406206,a
303.53700263782025,275.647654502655,a
284.9476907654658,253.4590288769445,a
318.0813872539519,263.6340914038623,a
263.5976784847951,265.6677388798936,a
271.08983707180573,302.9225027955362,a
310.9268677490214,203.16970029364796,a
335.5434225215866,256.8372487971732,a
322.3320248923009,234.79743302974498,a
288.93299519640954,230.40916697618798,a
310.9504173941655,217.8279802708609,a
327.2748950007809,261.21174657119406,a
279.43852143622854,230.68391808870985,a
290.6518732532704,263.5352492441606,a
314.049268446497,253.0376452054783,a
286.7919668969381,238.2566038352012,a
287.11822672131865,261.59073298903974,a
290.95880413563947,200.31579335504102,a
316.29805705004577,238.5098558419159,a
339.03048058338743,232.17754461259398,a
309.38264044904656,220.24953571003977,a
302.26667190721474,205.9625734971877,a
320.0314532901835,217.5265356059664,a
306.98241135552706,199.1479860395802,a
320.01634595665524,241.3504512552488,a
366.65007561265196,219.75464788119808,a
378.83084153921715,251.93131013973579,a
343.1864115636815,153.7324078747332,a
380.7792937054174,212.0743579746961,a
348.9255163579848,227.40263809247517,a
406.32960859787227,178.12347115735605,a
365.53653017844624,175.4915716736441,a
346.88089537134977,209.64776724188977,a
383.9833250134364,212.71745618115568,a
375.2307620886639,161.76354570471744,a
378.8296535275051,182.53526508410522,a
349.37163658726257,179.44940632882367,a
402.37022372174715,221.34701522344204,a
377.66820581941755,240.78176660596546,a
412.29364236188087,192.71965728488846,a
390.6661342838327,212.89904711982496,a
350.8810401505607,205.56761131208947,a
415.65718428387754,203.80751303350814,a
395.70080850192414,177.93176451944208,a
380.42021407347414,241.54048818193303,a
415.3303115772487,180.22769760288594,a
430.72724215147,232.1047038021336,a
388.9497858015787,228.37579283506216,a
427.7939348238169,265.5914256444343,a
471.47144140364463,239.2623838425879,a
413.08862689601875,259.119739017771,a
416.9021862504638,237.92397719896786,a
418.26003902998946,240.38339193629514,a
410.5955296963872,258.834985332591,a
480.51490246017926,280.05553894883184,a
490.57913938067935,270.568616282461,a
463.9923610482081,285.88291939128936,a
505.5246864185225,318.5805012707883,a
527.6011322288551,280.9049937446092,a
503.351502813901,327.44113377061615,a
496.1689929962343,312.6076636396073,a
535.1279750083285,274.29837529243326,a
490.2006542004724,268.73339812184906,a
501.7719251201465,295.5019269711424,a
497.7017936548798,298.0712383768414,a
507.2770820714168,314.41075414028535,a
525.049616181836,293.6763759196725,a
536.7013118358841,330.21257450865903,a
565.0460915749552,344.18688652861647,a
525.8743321723689,317.0513578555061,a
499.7837150204972,366.53611455783533,a
584.6745308064287,332.81614234463746,a
529.8279185425006,379.8865195363661,a
541.4488891212112,325.88222641105426,a
539.6616603074411,355.63518676276124,a
549.7767595854167,366.25274948454233,a
531.5174353663027,387.011872815886,a
587.188364963622,356.0953413412772,a
535.905079940802,406.86962784529675,a
543.3389891449414,354.79598541979414,a
619.2146475471586,390.7206393640137,a
620.7619403983772,383.2702079809036,a
608.5338941143517,374.4841599924031,a
588.3690208427136,430.85130360237173,a
602.8900161360012,447.53567207838074,a
579.4952452925344,444.55991422988785,a
590.183626795513,440.83812991488287,a
628.616344045411,410.6535780096192,a
636.6437411925094,415.0140348541073,a
638.891740420145,419.26739669750896,a
636.3274879586219,397.241669519418,a
634.5437414365073,424.5589741058658,a
608.5802354408918,438.6735444290971,a
653.7675525087366,379.5586802745372,a
633.8684093977606,455.5498035436769,a
582.5830903605276,94.748330042119,a
570.0087931142593,111.90535755203763,a
523.4622458732514,78.10212367944393,a
640.0095710475745,124.93140567973035,a
623.3491400436817,116.39493443435072,a
577.2999220535652,84.89720004136927,a
569.0539244943914,79.20086261129347,a
608.7892890921316,88.53804743085414,a
614.3957853885609,95.49795258322592,a
615.0745381483991,69.67086665584236,a
582.119213817916,70.90795497322438,a
633.8540902306306,76.74324914196472,a
571.2856329034224,133.35459054974626,a
614.5102451581373,85.23941670402661,a
606.4986581511463,106.8897632925553,a
564.5314586893467,42.373184265990915,a
590.7369322667548,34.14578079989519,a
